payment_installments,payment_type,customer_state,freight_value,price
1,voucher,SP,8.72,19.9
4,credit_card,RJ,14.1,25.99
1,credit_card,RJ,7.94,18.5
1,credit_card,DF,16.54,49.9
1,credit_card,DF,16.54,49.9
3,credit_card,RJ,26.9,84.99
8,credit_card,RJ,32.79,199.0
5,credit_card,RJ,25.61,109.9
1,credit_card,RS,8.11,29.99
7,credit_card,SP,14.13,59.9
5,credit_card,RJ,15.1,42.9
6,credit_card,RN,23.02,43.0
1,voucher,RJ,14.1,12.5
1,voucher,RJ,14.1,12.5
1,boleto,SP,8.41,179.9
1,boleto,SP,28.05,119.99
1,boleto,SP,32.05,149.99
1,boleto,SP,18.25,59.9
3,credit_card,SP,14.58,69.99
3,credit_card,PB,25.4,129.6
10,credit_card,RJ,39.28,31.8
10,credit_card,RJ,39.28,31.8
1,credit_card,SP,12.0,129.9
1,credit_card,SP,13.72,99.9
2,credit_card,SP,12.38,125.9
1,credit_card,PR,15.77,146.0
2,credit_card,SP,8.27,39.49
2,credit_card,SP,8.27,39.49
1,credit_card,RJ,13.6,54.99
1,credit_card,MG,16.39,89.99
2,credit_card,RJ,11.77,129.9
2,credit_card,SP,19.98,69.9
1,boleto,PR,12.7,80.9
1,boleto,PR,12.7,80.9
1,credit_card,SP,8.03,110.32
1,credit_card,SP,6.75,91.99
1,credit_card,SP,13.5,91.99
1,credit_card,SP,13.5,91.99
3,credit_card,MG,13.47,25.0
1,boleto,SP,53.01,259.9
1,boleto,SP,12.79,39.0
8,credit_card,SP,4.39,104.9
8,credit_card,SP,12.53,110.32
1,credit_card,GO,15.79,7.0
1,debit_card,MG,17.6,49.9
1,boleto,SP,29.68,126.99
5,credit_card,PA,24.84,28.99
10,credit_card,RS,17.73,281.99
1,boleto,SP,7.39,45.0
1,boleto,SP,7.39,45.0
1,boleto,SP,7.39,45.0
1,boleto,SP,7.39,45.0
1,boleto,SP,7.39,45.0
1,boleto,SP,7.39,45.0
1,credit_card,SP,8.39,89.49
1,credit_card,PR,15.18,60.0
1,boleto,MT,25.66,49.99
1,boleto,MT,25.66,59.99
4,credit_card,MG,23.46,93.99
5,credit_card,SP,21.53,148.9
1,credit_card,RS,21.16,119.9
1,boleto,MG,15.13,53.99
1,boleto,RS,15.58,119.0
1,credit_card,SP,11.85,48.0
1,credit_card,SP,19.53,49.1
1,credit_card,PR,19.66,66.39
1,credit_card,RO,24.84,39.9
5,credit_card,RS,57.79,159.99
6,credit_card,DF,17.6,49.9
6,credit_card,PE,26.89,36.9
1,voucher,SC,16.14,199.0
1,credit_card,SC,16.14,199.0
1,voucher,SC,16.14,199.0
1,boleto,SP,25.34,28.0
1,boleto,SP,25.34,47.99
1,credit_card,SP,55.69,229.9
8,credit_card,BA,28.2,117.3
4,credit_card,SP,7.39,35.9
1,credit_card,SP,13.51,24.9
1,credit_card,MG,42.59,359.9
6,credit_card,SP,12.19,98.7
3,credit_card,SP,24.55,179.9
1,credit_card,SP,9.45,99.9
1,credit_card,SP,11.94,62.8
1,credit_card,SP,11.86,45.0
1,credit_card,MG,17.81,80.0
1,voucher,SP,23.35,109.9
1,boleto,PR,21.95,159.0
1,boleto,MT,35.32,410.0
5,credit_card,MG,14.52,37.99
5,credit_card,SP,14.16,110.0
1,credit_card,SP,13.08,52.39
1,boleto,SP,10.79,87.37
1,boleto,MT,15.79,24.99
2,credit_card,PR,15.67,257.6
1,credit_card,MG,23.73,83.0
1,boleto,SP,27.2,159.99
4,credit_card,MG,15.01,179.9
4,credit_card,MG,15.01,179.9
10,credit_card,ES,33.96,359.5
1,boleto,RS,16.11,45.0
1,boleto,RS,16.11,45.0
7,credit_card,SP,19.85,679.0
4,credit_card,RJ,14.34,84.99
2,credit_card,SP,8.29,49.99
1,credit_card,SP,17.13,59.9
1,credit_card,RS,9.74,39.99
1,credit_card,SC,0.0,69.9
1,credit_card,SC,0.0,69.9
1,credit_card,MG,16.46,69.9
10,credit_card,GO,18.95,167.0
10,credit_card,GO,68.23,169.49
1,boleto,SP,13.01,95.0
1,boleto,SP,7.46,27.9
5,credit_card,RS,15.8,289.9
3,credit_card,AP,26.36,189.9
1,credit_card,SP,13.15,69.9
1,boleto,SC,21.78,99.9
1,credit_card,SP,7.78,49.9
1,credit_card,PE,24.97,68.0
1,boleto,SP,9.34,25.9
3,credit_card,MG,16.64,269.9
1,voucher,PR,25.21,52.88
1,credit_card,PR,25.21,52.88
7,credit_card,RS,21.2,279.99
1,credit_card,SP,38.88,102.0
4,credit_card,SP,12.79,28.9
1,credit_card,SP,7.87,12.88
3,credit_card,MG,35.43,129.97
1,credit_card,SP,6.56,96.0
8,credit_card,PR,19.65,64.99
4,credit_card,SP,18.51,428.0
10,credit_card,RS,57.79,159.99
1,voucher,RJ,18.09,120.0
5,credit_card,SP,12.69,37.99
6,credit_card,SP,14.11,155.99
1,boleto,MS,19.98,69.9
3,credit_card,SP,13.65,89.9
3,credit_card,ES,25.14,135.0
2,credit_card,RJ,14.1,31.9
6,credit_card,MG,13.47,49.99
3,credit_card,SP,8.22,136.78
1,boleto,MG,18.7,117.7
3,credit_card,MG,11.74,22.5
2,credit_card,SP,16.54,129.9
8,credit_card,SC,18.65,110.32
8,credit_card,SC,18.65,110.32
2,credit_card,RS,40.33,199.9
2,credit_card,MG,15.2,64.9
3,credit_card,SP,14.17,59.99
2,credit_card,SP,18.0,320.0
2,credit_card,RJ,54.65,129.0
1,boleto,PR,8.72,9.9
1,boleto,PR,17.27,359.7
1,boleto,PR,17.27,359.7
2,credit_card,MG,14.1,49.99
1,credit_card,SP,11.15,48.32
5,credit_card,PR,16.28,74.9
1,boleto,SC,18.33,65.0
2,credit_card,SP,10.96,17.5
1,boleto,SP,15.1,38.2
1,credit_card,SP,8.29,68.0
1,boleto,SP,19.82,383.5
4,credit_card,RS,15.31,79.9
3,credit_card,SP,11.85,39.9
3,credit_card,SP,11.85,39.9
1,boleto,SP,12.89,199.0
3,credit_card,PR,12.4,99.0
3,credit_card,SP,23.42,119.9
1,voucher,SP,23.42,119.9
1,voucher,SP,10.96,34.99
1,credit_card,SP,10.96,34.99
1,voucher,RJ,24.26,199.0
5,credit_card,RJ,24.26,199.0
1,credit_card,SP,19.7,105.0
1,credit_card,BA,16.79,24.9
8,credit_card,SP,17.03,199.9
6,credit_card,RJ,10.97,109.9
6,credit_card,RJ,10.97,109.9
2,credit_card,RJ,17.37,119.0
1,boleto,SP,10.96,20.0
1,credit_card,SP,13.83,35.0
1,credit_card,RS,18.2,56.9
7,credit_card,SP,16.67,60.0
2,credit_card,RJ,19.13,178.99
1,credit_card,SP,9.06,122.99
1,credit_card,PR,18.46,94.0
5,credit_card,SP,13.52,70.91
4,credit_card,BA,35.74,174.9
1,boleto,SP,14.86,109.9
1,credit_card,SP,9.74,59.99
3,credit_card,MG,18.23,12.99
1,boleto,SP,8.88,13.3
1,credit_card,SP,11.95,64.9
3,credit_card,GO,16.79,15.9
1,boleto,SP,20.6,79.97
2,credit_card,SP,8.32,79.99
1,credit_card,DF,10.66,44.9
5,credit_card,PE,38.96,325.0
1,credit_card,SP,12.01,72.9
3,credit_card,MS,98.02,109.0
8,credit_card,RS,24.47,394.65
1,credit_card,SP,7.78,34.49
4,credit_card,RJ,27.75,66.99
1,credit_card,BA,24.73,54.9
8,credit_card,BA,24.06,170.0
1,credit_card,SP,11.85,27.9
5,credit_card,MG,10.96,39.9
2,credit_card,ES,18.21,89.99
1,credit_card,RS,17.84,84.9
1,boleto,TO,37.15,34.9
1,boleto,SP,7.39,16.99
1,credit_card,SP,7.78,49.0
1,credit_card,SP,12.33,119.0
4,credit_card,PR,19.41,219.0
1,voucher,PR,19.41,219.0
6,credit_card,PR,19.41,219.0
1,boleto,RJ,18.79,129.9
1,boleto,PE,27.16,89.18
2,credit_card,SP,12.13,89.9
2,credit_card,SP,12.13,89.9
1,boleto,RJ,17.8,79.0
1,debit_card,SP,15.69,115.0
10,credit_card,RJ,21.01,844.0
6,credit_card,SP,23.17,299.0
8,credit_card,SP,15.29,259.9
1,boleto,MG,22.32,55.9
4,credit_card,SP,10.96,29.9
1,credit_card,MG,31.97,174.9
9,credit_card,RJ,16.47,245.9
1,credit_card,GO,129.84,217.85
1,credit_card,GO,8.66,142.9
1,credit_card,GO,8.66,142.9
1,credit_card,GO,129.84,217.85
4,credit_card,PA,32.81,95.9
4,credit_card,PA,32.81,95.9
5,credit_card,SP,11.85,49.9
7,credit_card,CE,37.04,39.99
5,credit_card,SP,7.88,89.0
1,boleto,RJ,17.26,144.99
1,credit_card,SP,13.47,43.99
2,credit_card,SP,13.44,59.9
2,credit_card,SP,18.25,21.5
1,credit_card,RJ,19.08,139.99
1,credit_card,BA,59.14,99.9
1,credit_card,DF,14.1,19.9
1,voucher,SP,9.34,39.9
1,credit_card,SP,9.34,39.9
1,credit_card,SP,11.86,52.0
1,boleto,MG,18.36,159.0
1,credit_card,SP,11.94,132.0
2,credit_card,SP,34.52,139.9
1,boleto,MG,45.45,135.0
1,credit_card,SP,32.84,267.0
3,credit_card,SP,12.57,153.0
1,boleto,MG,16.35,84.99
5,credit_card,SP,9.42,59.9
5,credit_card,SP,9.66,129.9
1,credit_card,PR,16.11,38.25
5,credit_card,SP,24.7,412.0
3,credit_card,RJ,24.05,168.9
10,credit_card,SC,107.43,1148.0
3,credit_card,BA,23.28,35.9
7,credit_card,PR,17.64,55.0
1,boleto,SP,12.79,39.0
1,credit_card,MG,20.98,69.9
1,voucher,MG,20.98,69.9
1,voucher,MG,20.98,69.9
1,voucher,MG,20.98,69.9
4,credit_card,PR,14.32,139.5
4,credit_card,PR,14.32,139.5
1,credit_card,RJ,15.25,69.99
4,credit_card,BA,16.79,24.9
9,credit_card,ES,21.02,75.0
1,credit_card,SP,7.39,18.9
10,credit_card,SP,20.6,1099.0
1,boleto,RJ,17.2,65.9
1,voucher,ES,15.1,28.9
4,credit_card,ES,22.09,22.32
1,credit_card,PR,32.09,1999.0
1,credit_card,MG,18.68,204.0
8,credit_card,MG,18.58,69.0
3,credit_card,BA,15.22,249.0
8,credit_card,SP,18.21,349.9
1,credit_card,SP,31.48,64.99
2,credit_card,SP,35.38,185.9
5,credit_card,BA,17.52,154.9
5,credit_card,GO,17.16,110.32
5,credit_card,GO,17.16,138.9
3,credit_card,BA,23.22,21.15
2,credit_card,RJ,16.11,144.9
6,credit_card,SP,8.17,131.0
8,credit_card,SP,23.24,94.5
4,credit_card,BA,22.43,102.9
8,credit_card,MG,19.42,182.0
2,credit_card,SP,12.79,18.0
1,boleto,GO,23.49,166.99
1,boleto,SP,7.78,25.99
2,credit_card,PE,25.63,29.99
2,credit_card,PE,25.63,29.99
1,boleto,SP,12.88,31.99
1,boleto,RS,16.99,175.0
1,boleto,RS,16.99,175.0
1,boleto,SP,23.22,60.0
1,voucher,SP,12.93,84.94
1,credit_card,SP,12.93,84.94
1,credit_card,RJ,14.52,21.9
1,credit_card,RJ,14.52,21.9
1,credit_card,RJ,14.52,21.9
3,credit_card,RJ,15.37,89.0
5,credit_card,RS,45.58,159.99
1,credit_card,CE,37.39,99.99
3,credit_card,SP,9.58,94.5
1,boleto,SP,20.18,300.0
1,boleto,RJ,32.8,189.9
1,credit_card,RJ,14.31,79.99
1,voucher,RJ,14.31,79.99
1,credit_card,SP,14.2,65.0
1,boleto,PE,20.58,75.0
1,boleto,PR,18.65,109.9
6,credit_card,MG,79.86,68.9
8,credit_card,SP,9.34,59.9
8,credit_card,SP,9.34,59.9
4,credit_card,SC,15.1,26.0
7,credit_card,SP,7.78,64.9
2,credit_card,RJ,15.23,16.9
1,credit_card,BA,38.21,112.0
2,credit_card,MA,52.77,60.0
2,credit_card,RS,10.32,170.0
4,credit_card,SP,21.85,149.99
1,credit_card,BA,15.79,27.99
1,boleto,RS,18.58,69.0
3,credit_card,GO,21.01,79.9
3,credit_card,RS,20.26,185.0
1,credit_card,PR,17.7,64.89
2,credit_card,SE,22.93,29.99
2,credit_card,SP,9.45,179.49
1,boleto,MG,17.67,59.99
1,boleto,SP,8.34,25.0
1,boleto,DF,16.02,179.9
5,credit_card,MG,15.35,84.99
1,boleto,SP,13.44,59.9
1,debit_card,SP,13.78,235.92
1,debit_card,SP,13.78,235.92
1,credit_card,SP,9.3,292.0
5,credit_card,SP,12.76,59.99
5,credit_card,SP,12.76,59.99
2,credit_card,SP,7.39,47.65
6,credit_card,PR,17.88,89.99
4,credit_card,RS,9.66,296.5
10,credit_card,RJ,61.24,2690.0
9,credit_card,RJ,41.33,49.9
2,credit_card,SP,12.13,89.9
3,credit_card,PR,47.8,106.9
5,credit_card,SP,7.94,120.0
5,credit_card,SP,23.83,204.0
2,credit_card,MG,16.11,29.9
2,credit_card,MG,16.11,29.9
2,credit_card,MG,16.11,29.9
8,credit_card,SP,12.9,199.98
2,credit_card,SP,8.72,56.99
1,boleto,SP,12.8,19.9
3,credit_card,RJ,0.0,99.9
4,credit_card,PE,25.71,61.5
5,credit_card,RJ,14.41,94.9
4,credit_card,BA,34.35,99.0
1,credit_card,SP,8.11,41.3
8,credit_card,RJ,19.22,160.0
1,credit_card,BA,17.8,124.17
1,voucher,GO,14.15,56.99
1,voucher,GO,14.15,56.99
1,voucher,GO,14.15,56.99
7,credit_card,SP,13.52,72.0
5,credit_card,PR,43.8,229.0
5,credit_card,PR,17.6,50.0
1,credit_card,SP,18.23,49.1
1,credit_card,SP,18.23,49.1
3,credit_card,SC,23.08,40.0
6,credit_card,BA,17.85,132.0
3,credit_card,DF,17.78,29.9
1,credit_card,MG,18.23,27.9
1,credit_card,SP,16.37,309.99
5,credit_card,RJ,20.23,180.0
1,boleto,GO,12.77,73.9
10,credit_card,GO,18.25,355.9
1,credit_card,MS,19.83,359.0
10,credit_card,SP,15.71,119.0
2,credit_card,RJ,15.1,12.88
1,credit_card,RJ,14.08,49.9
1,boleto,RS,15.1,29.0
2,credit_card,DF,19.04,37.39
2,credit_card,DF,19.04,37.39
1,credit_card,BA,15.79,49.0
2,credit_card,SP,11.78,108.9
8,credit_card,SP,7.85,85.0
3,credit_card,PR,18.26,54.99
1,boleto,ES,14.25,72.0
10,credit_card,ES,19.34,170.0
3,credit_card,SP,7.46,27.99
2,credit_card,CE,30.47,74.9
2,credit_card,CE,28.43,74.9
1,credit_card,MT,16.79,49.99
1,credit_card,RN,27.07,42.99
3,credit_card,GO,16.86,59.9
1,boleto,RJ,145.99,550.0
4,credit_card,PR,17.67,59.9
4,credit_card,PR,17.67,59.9
1,credit_card,RJ,14.1,29.99
10,credit_card,PI,32.67,1695.0
1,boleto,PA,29.55,39.9
8,credit_card,SP,19.85,279.9
1,credit_card,MG,10.96,30.9
3,credit_card,PE,20.91,122.99
1,boleto,SP,11.85,19.9
5,credit_card,MG,36.24,59.0
6,credit_card,RJ,18.32,153.0
4,credit_card,SP,6.25,21.0
4,credit_card,SP,10.42,35.0
4,credit_card,SP,6.25,21.0
4,credit_card,SP,10.42,35.0
4,credit_card,SP,8.34,28.0
4,credit_card,SP,8.34,28.0
3,credit_card,SP,14.52,29.9
3,credit_card,PR,33.53,380.0
1,boleto,RJ,17.07,89.9
1,credit_card,DF,17.78,28.0
1,debit_card,PE,129.74,299.9
2,credit_card,SP,7.64,110.32
1,credit_card,MG,23.05,35.9
1,boleto,RJ,14.1,29.99
2,credit_card,MG,19.37,56.97
1,boleto,SP,13.07,104.9
1,boleto,RJ,21.05,899.99
1,credit_card,MG,9.09,39.9
1,credit_card,SP,7.46,27.9
1,boleto,SP,14.07,149.99
8,credit_card,RJ,23.42,89.0
8,credit_card,RJ,23.42,89.0
1,credit_card,MG,19.5,75.9
1,credit_card,SP,13.07,59.0
1,voucher,SP,13.07,59.0
1,credit_card,SP,13.07,59.0
1,voucher,SP,13.07,59.0
1,credit_card,SP,14.52,27.9
5,credit_card,SP,12.4,196.8
1,voucher,SP,12.4,196.8
2,credit_card,PR,18.11,122.5
2,credit_card,SP,31.82,279.99
8,credit_card,MG,21.08,89.9
1,credit_card,SP,7.39,12.65
4,credit_card,MG,21.02,895.0
1,boleto,ES,16.05,27.9
2,credit_card,CE,19.03,69.99
5,credit_card,CE,19.03,69.99
10,credit_card,SP,37.27,559.0
5,credit_card,RJ,19.25,195.9
1,credit_card,SP,15.18,59.9
1,credit_card,SP,11.85,19.9
1,credit_card,SP,8.72,39.99
1,credit_card,MG,16.18,59.99
3,credit_card,SP,13.92,179.9
2,credit_card,GO,16.07,189.0
1,credit_card,PR,15.38,89.9
1,boleto,MG,20.43,208.0
1,boleto,MG,14.52,22.0
8,credit_card,SP,17.97,179.9
4,credit_card,SP,37.05,159.9
8,credit_card,SP,15.56,198.0
1,boleto,GO,17.74,283.02
1,credit_card,SP,11.85,24.5
8,credit_card,MG,21.47,480.65
10,credit_card,GO,20.11,318.98
1,credit_card,MG,16.79,19.9
1,credit_card,SP,15.67,80.4
1,credit_card,SP,15.67,80.4
2,credit_card,SP,18.17,179.99
1,boleto,SP,7.39,12.9
1,boleto,SE,131.73,1349.0
2,credit_card,RJ,15.38,89.9
2,credit_card,RJ,15.38,89.9
6,credit_card,SP,10.46,335.0
3,credit_card,RJ,7.94,25.0
3,credit_card,MG,14.1,27.99
4,credit_card,SP,24.42,299.9
1,credit_card,MS,16.79,25.9
1,boleto,SP,9.13,53.99
1,boleto,SP,10.96,23.9
1,credit_card,GO,25.51,109.9
1,boleto,GO,41.67,99.0
3,credit_card,RS,16.57,115.52
1,credit_card,RS,35.48,41.9
6,credit_card,MT,44.86,355.79
1,credit_card,SP,12.69,44.9
1,credit_card,SP,13.18,88.6
2,credit_card,SP,11.45,119.6
1,boleto,SP,17.53,112.99
1,boleto,SP,17.53,112.99
1,boleto,SP,17.53,112.99
1,boleto,SP,17.53,112.99
1,boleto,SP,17.53,112.99
1,boleto,SP,17.53,112.99
1,boleto,SP,11.3,39.9
2,credit_card,PR,22.29,117.3
1,voucher,GO,15.1,32.0
1,credit_card,SP,7.39,24.6
2,credit_card,SP,13.57,79.0
3,credit_card,RS,15.22,65.99
1,boleto,PR,15.68,133.0
2,credit_card,SP,9.37,79.0
1,credit_card,SP,13.22,79.9
1,credit_card,PA,42.38,33.8
13,credit_card,SP,18.53,116.99
1,credit_card,MG,22.27,49.0
4,credit_card,SP,12.69,49.39
1,credit_card,MA,53.83,243.37
1,boleto,SP,58.0,249.0
2,credit_card,SP,25.68,119.9
1,credit_card,SP,8.88,59.99
1,credit_card,SP,8.88,59.99
3,credit_card,RS,46.48,289.0
1,boleto,RS,15.57,117.0
3,credit_card,BA,17.92,35.9
6,credit_card,GO,38.42,124.9
8,credit_card,SP,21.17,75.0
1,debit_card,SP,7.78,49.0
3,credit_card,SP,15.73,139.0
1,debit_card,PR,14.1,29.99
1,boleto,RJ,23.99,159.9
1,voucher,SP,11.62,85.0
1,boleto,MG,17.65,129.99
2,credit_card,PR,19.95,110.32
3,credit_card,BA,27.38,119.9
1,boleto,SP,11.26,34.9
1,credit_card,SP,7.78,14.6
2,credit_card,SC,17.88,89.9
1,boleto,SP,14.23,125.0
1,boleto,SP,14.23,125.0
1,boleto,SP,14.23,125.0
1,boleto,SP,14.23,125.0
1,boleto,SP,14.23,125.0
6,credit_card,SP,16.42,219.99
1,boleto,SP,44.99,74.9
1,boleto,SP,34.07,259.9
1,boleto,SP,34.07,259.9
1,credit_card,ES,15.28,75.0
1,voucher,ES,15.28,75.0
1,debit_card,SP,11.91,127.5
1,credit_card,BA,27.08,45.0
1,credit_card,BA,27.08,45.0
1,credit_card,BA,27.08,45.0
1,credit_card,BA,27.08,45.0
1,credit_card,BA,27.08,45.0
3,credit_card,SP,27.69,119.9
1,boleto,RJ,16.53,109.8
4,credit_card,SP,13.54,73.9
8,credit_card,MA,66.87,599.0
1,credit_card,RJ,16.79,19.9
1,boleto,SP,7.39,19.9
1,boleto,SP,10.96,7.8
10,credit_card,SP,15.04,205.0
7,credit_card,SC,16.18,59.9
10,credit_card,SP,13.28,120.0
1,boleto,MT,16.79,45.95
2,credit_card,MG,36.29,419.0
7,credit_card,BA,20.9,599.0
2,credit_card,DF,15.11,27.9
2,credit_card,DF,15.11,27.9
8,credit_card,MT,53.46,189.9
2,credit_card,SP,8.88,13.9
1,credit_card,SP,13.44,59.9
1,credit_card,SP,13.44,59.9
1,credit_card,SP,13.44,59.9
10,credit_card,ES,23.35,109.9
1,credit_card,SP,12.96,43.0
1,boleto,SP,15.1,33.5
1,credit_card,RS,15.13,54.99
1,credit_card,MG,14.1,49.99
5,credit_card,DF,15.81,149.9
1,debit_card,SP,12.14,149.9
1,boleto,RJ,16.79,29.9
3,credit_card,ES,34.87,112.94
1,voucher,ES,34.87,112.94
3,credit_card,SP,14.1,45.0
1,credit_card,SP,14.18,293.5
1,debit_card,SP,8.47,44.9
1,voucher,SP,12.14,149.9
3,credit_card,SP,13.44,59.9
8,credit_card,RS,27.48,199.9
2,credit_card,RN,21.56,107.9
3,credit_card,MG,23.51,8.99
3,credit_card,MG,23.51,8.99
3,credit_card,MG,0.78,22.9
3,credit_card,MG,23.51,8.99
3,credit_card,MG,7.84,29.95
3,credit_card,MG,17.0,79.9
1,boleto,MA,33.72,59.0
1,boleto,MA,42.14,37.95
1,credit_card,SP,12.47,109.9
3,credit_card,SP,10.96,23.9
2,credit_card,DF,14.1,39.9
2,credit_card,SP,12.69,29.99
1,boleto,RS,22.15,699.9
4,credit_card,SP,26.11,69.9
1,boleto,MG,19.59,89.18
3,credit_card,RJ,19.58,56.1
3,credit_card,RS,14.1,21.99
3,credit_card,MG,15.26,22.9
5,credit_card,ES,15.37,89.0
1,credit_card,RJ,15.1,38.99
1,credit_card,PR,16.64,55.0
1,credit_card,SP,13.57,79.0
1,boleto,SP,13.08,35.0
1,boleto,MG,12.79,14.0
1,credit_card,SP,13.23,46.9
10,credit_card,AL,65.1,229.9
10,credit_card,SP,13.42,109.0
10,credit_card,RJ,23.63,149.9
1,credit_card,SP,16.83,219.0
1,credit_card,ES,15.1,37.9
2,credit_card,SP,13.51,69.9
4,credit_card,SP,18.59,69.9
10,credit_card,MG,26.11,86.96
10,credit_card,MG,26.11,86.96
1,credit_card,SP,9.34,69.9
1,credit_card,RJ,15.15,56.99
2,credit_card,SP,12.71,53.0
7,credit_card,SP,13.78,59.9
1,boleto,SP,8.79,89.9
6,credit_card,SP,11.73,64.9
1,debit_card,SP,10.96,26.9
1,boleto,SP,15.13,148.0
4,credit_card,RS,17.88,89.9
1,credit_card,BA,17.78,18.99
1,boleto,RS,0.0,69.9
4,credit_card,BA,16.21,109.9
1,boleto,MG,16.19,61.9
1,boleto,GO,17.78,18.99
2,credit_card,SP,19.22,160.0
10,credit_card,PR,35.06,243.0
1,voucher,ES,18.24,19.3
1,credit_card,SP,9.26,72.5
1,credit_card,SP,9.26,72.5
1,credit_card,SP,10.96,37.99
1,boleto,SP,7.71,8.9
1,boleto,SP,7.71,8.9
10,credit_card,SP,36.75,45.0
10,credit_card,SP,36.75,45.0
5,credit_card,RJ,14.42,96.0
2,credit_card,MG,23.24,94.99
6,credit_card,MG,12.49,51.9
